y,treatment,W1,W2,instruments
29,7.03E-10,15.94851849,1.692,165.6951525
20,6.96E-10,16.89387274,1.692,165.3843823
21,7.15E-10,17.09144603,1.692,101.3763274
48,7.53E-10,16.51217701,1.692,213.0204886
39,7.24E-10,16.95590049,1.692,33.05687408
35,7.06E-10,16.11078098,1.692,163.205369
37,7.31E-10,16.30674535,1.692,179.7047675
39,7.83E-10,16.78691922,1.692,87.02900051
34,8.13E-10,16.34773525,1.692,152.3841433
37,8.74E-10,16.5121344,1.692,93.08949041
38,1.20E-09,16.43447247,1.692,56.09431167
20,1.33E-09,16.69480673,1.692,98.93223034
34,1.18E-09,16.57444795,1.692,107.0325849
29,1.01E-09,16.87444059,1.692,53.77736964
31,7.90E-10,16.15498638,1.692,262.8819566
23,7.43E-10,17.11442373,1.692,150.7636386
35,7.47E-10,17.03912064,1.692,218.489858
23,7.34E-10,16.00473652,1.692,261.0926141
34,7.05E-10,16.49124016,1.692,149.4340463
20,6.66E-10,16.90277508,1.692,188.6016734
19,6.31E-10,16.99054461,1.692,206.7488527
31,6.56E-10,16.79697404,1.692,253.021769
36,7.21E-10,16.74208942,1.692,139.0635314
30,7.47E-10,16.88287932,1.692,136.7759989
22,7.02E-10,17.72085877,1.692,23.67299816
25,6.80E-10,17.62837157,1.692,49.26774031
25,6.51E-10,17.15444993,1.692,112.4382713
30,5.90E-10,16.89637699,1.692,96.70265989
22,6.21E-10,16.38909021,1.692,42.95698125
25,6.36E-10,16.51530464,1.692,78.9981417
38,5.92E-10,17.0430258,1.692,123.9462404
30,5.78E-10,16.81571033,1.692,27.92771338
42,7.43E-10,17.1808449,1.692,39.04539043
44,7.84E-10,16.85712478,1.692,147.4333061
31,6.70E-10,16.98798442,1.692,117.7272724
28,6.89E-10,16.60170819,1.692,95.25784951
39,7.08E-10,16.42106971,1.692,102.7997951
29,7.84E-10,16.86400019,1.692,28.53103949
39,8.20E-10,17.25966498,1.692,49.54787056
36,8.35E-10,17.22646016,1.692,43.6860581
34,9.44E-10,16.36270048,1.692,192.0932487
33,8.72E-10,16.13804108,1.692,164.0951416
40,7.27E-10,16.5469607,1.692,201.5298906
30,7.61E-10,16.49989252,1.692,145.5847743
35,7.30E-10,16.13187569,1.692,250.4220535
43,6.21E-10,16.13732814,1.692,121.1267195
35,6.77E-10,16.60312499,1.692,171.9424688
39,7.38E-10,17.10964122,1.692,80.97627603
20,7.12E-10,16.31514827,1.692,289.041809
22,7.17E-10,16.71143982,1.692,199.0390642
24,7.34E-10,16.73158416,1.692,153.1813554
19,7.60E-10,16.69834006,1.692,149.9167225
23,7.55E-10,16.88181957,1.692,163.3726556
28,7.36E-10,15.48246971,1.692,156.8840246
28,7.69E-10,16.81683645,1.692,52.0788711
32,7.56E-10,16.95324628,1.692,29.95709889
32,7.04E-10,16.61649975,1.692,3.72401107
25,9.05E-10,16.40953831,1.692,96.6650803
18,1.07E-09,17.49082648,1.692,108.2866248
30,9.93E-10,17.53547534,1.692,68.85871308
27,1.02E-09,17.03238517,1.692,199.470157
38,1.16E-09,16.30069881,1.692,151.5189098
36,1.17E-09,17.12702484,1.692,37.86958734
35,1.22E-09,17.57634912,1.692,113.9169492
31,1.28E-09,17.89336507,1.692,123.0328419
32,1.18E-09,17.54407599,1.692,250.5256281
21,1.03E-09,16.58292942,1.692,208.9323048
21,9.93E-10,17.47434041,1.692,95.41557689
12,1.12E-09,17.53624303,1.692,111.6054766
20,1.32E-09,17.70372707,1.692,128.94884
23,1.18E-09,17.39658916,1.692,253.7168481
15,8.47E-10,16.88336399,1.692,340.722522
16,7.64E-10,16.90969056,1.692,372.5608967
15,6.76E-10,16.94272471,1.692,212.1824927
13,6.42E-10,17.08678287,1.692,145.0102023
13,6.68E-10,16.87006276,1.692,214.1992388
16,6.42E-10,16.85826712,1.692,135.3862698
